repeat,state,mean_plddt,min_plddt,max_plddt,residues
25,unrelaxed,94.90655526992288,64.24,98.89,389
26,unrelaxed,95.02668380462724,63.78,98.9,389
27,unrelaxed,94.70041131105398,64.23,98.89,389
28,unrelaxed,95.01807197943444,63.45,98.89,389
29,unrelaxed,94.69215938303341,63.88,98.89,389
30,unrelaxed,94.89254498714652,63.61,98.88,389
31,unrelaxed,94.42138817480719,36.57,98.88,389
32,unrelaxed,94.87984575835476,63.92,98.89,389
33,unrelaxed,94.55182519280207,63.41,98.87,389
34,unrelaxed,94.70239074550129,63.79,98.88,389
35,unrelaxed,94.76074550128534,62.7,98.88,389
36,unrelaxed,94.6813881748072,63.6,98.88,389
37,unrelaxed,94.99329048843188,63.61,98.89,389
38,unrelaxed,94.96313624678665,63.97,98.89,389
39,unrelaxed,94.57825192802058,63.33,98.88,389
40,unrelaxed,94.9618766066838,63.73,98.89,389
41,unrelaxed,94.66655526992288,63.81,98.88,389
42,unrelaxed,94.84023136246786,62.94,98.88,389
43,unrelaxed,94.95778920308484,46.23,98.9,389
44,unrelaxed,94.75403598971722,63.61,98.88,389
45,unrelaxed,94.50591259640103,63.73,98.88,389
46,unrelaxed,94.66123393316195,63.1,98.88,389
47,unrelaxed,94.93557840616967,64.13,98.88,389
48,unrelaxed,95.20203084832904,63.78,98.9,389
49,unrelaxed,94.73568123393316,64.12,98.87,389
50,unrelaxed,95.12411311053984,63.16,98.89,389
51,unrelaxed,94.58503856041132,47.46,98.89,389
52,unrelaxed,94.29249357326478,46.67,98.88,389
53,unrelaxed,94.80421593830333,63.77,98.89,389
54,unrelaxed,94.71190231362468,44.63,98.88,389
55,unrelaxed,94.63904884318765,64.0,98.89,389
56,unrelaxed,94.55614395886889,62.91,98.88,389
57,unrelaxed,94.78413881748072,63.29,98.88,389
58,unrelaxed,94.96673521850899,63.74,98.88,389
59,unrelaxed,94.61714652956299,64.03,98.88,389
60,unrelaxed,94.78794344473008,63.9,98.89,389
61,unrelaxed,94.30349614395887,45.1,98.88,389
62,unrelaxed,94.39768637532133,48.79,98.88,389
63,unrelaxed,94.73681233933162,64.05,98.89,389
64,unrelaxed,95.00154241645244,62.79,98.89,389
65,unrelaxed,94.64858611825194,46.5,98.88,389
66,unrelaxed,94.84804627249358,63.37,98.88,389
67,unrelaxed,94.70030848329048,63.77,98.88,389
68,unrelaxed,94.65313624678663,63.93,98.88,389
69,unrelaxed,94.86408740359896,63.98,98.9,389
70,unrelaxed,95.07670951156811,63.35,98.89,389
