term,coef,pvalue
Intercept,3.7571478221150603,5.684345219896098e-07
C(chain)[T.4bp8_A],2.6005499710716857,0.0004956680571391977
C(chain)[T.5i6x_A],2.4220283144856585,0.0010846497923845684
C(chain)[T.6nbf_A],1.9425264829373323,0.0069697226200532425
C(chain)[T.6xpf_A],1.8111596560770764,0.0297283672427514
C(chain)[T.7dsq_A],2.532937018104989,0.0014497869462967686
C(chain)[T.7evw_A],4.206669749604467,3.676076055022524e-09
C(repeat)[T.2],-0.051253087010057895,0.8939220365051971
C(repeat)[T.3],-1.2509837226721165,0.004535709885847213
C(repeat)[T.4],-0.7315500814393424,0.07673519070944398
C(repeat)[T.5],-0.5360099456627987,0.18343385846489413
mean_plddt,-0.2023114456466546,6.988790652405929e-23
epoch,0.10456507156591109,9.384548506825322e-05
