epoch,total,errors,success,mean_plddt,median_plddt,std_plddt,min_plddt,max_plddt,error_rate,success_rate
0,35,34,1,9.643867774517211,9.627112970711298,0.34809999383363227,9.156349614395882,10.369468749999998,0.9714285714285714,0.02857142857142857
1,35,31,4,16.987981416429253,17.265719489981777,1.5969954675669493,13.94241645244216,19.94465625000002,0.8857142857142857,0.11428571428571428
2,35,15,20,29.92450587058317,29.65125683060107,1.2262439881159017,28.39076794657762,32.614625,0.42857142857142855,0.5714285714285714
3,35,8,27,34.96985863322204,35.080753138075345,1.547414820881844,31.66830769230769,37.47296874999999,0.22857142857142856,0.7714285714285715
4,35,9,26,37.06025438944573,36.70958263772953,1.8197079562885894,34.003496503496486,40.76415624999997,0.2571428571428571,0.7428571428571429
5,35,1,34,39.65615896901456,38.54325874125874,2.6304761084001305,37.29422370617696,46.28074999999998,0.02857142857142857,0.9714285714285714
6,35,7,28,44.9323548476673,43.3695810564663,4.643226328153928,39.35094142259416,53.22579741379314,0.2,0.8
7,35,4,31,43.72718467798861,41.04467132867132,5.2736618051257445,37.87576223776222,53.33174568965524,0.11428571428571428,0.8857142857142857
8,35,1,34,51.02067119505794,49.17573770491803,5.638545997376893,44.16119246861927,60.30803879310346,0.02857142857142857,0.9714285714285714
9,35,1,34,50.88161568280542,49.54899742930591,5.29617900912545,43.43138075313803,60.14594827586212,0.02857142857142857,0.9714285714285714
10,35,2,33,53.52128043584429,53.930000000000064,5.645940648671778,45.46298831385639,61.13881465517237,0.05714285714285714,0.9428571428571428
11,35,2,33,60.001431438350004,62.6312204007286,7.081823406533077,48.69974958263776,68.3687715517241,0.05714285714285714,0.9428571428571428
12,35,2,33,62.35769477072685,66.93184615384617,7.2345892464963315,50.97390651085146,70.91060344827582,0.05714285714285714,0.9428571428571428
13,35,2,33,59.798550950338836,63.93048951048952,7.612286632148195,47.22092050209205,68.70040948275857,0.05714285714285714,0.9428571428571428
14,35,1,34,64.17645820005929,67.81325874125872,6.884390512870468,53.50604602510458,73.39392241379312,0.02857142857142857,0.9714285714285714
15,35,1,34,65.70271204048117,68.6033566433566,7.241413432391112,53.00882845188287,74.47558189655169,0.02857142857142857,0.9714285714285714
16,35,2,33,60.11804598225827,59.4773264781491,6.24975673690599,49.47310517529214,68.37006250000002,0.05714285714285714,0.9428571428571428
17,35,1,34,64.71821531877124,67.12201398601394,6.379284094942916,54.1852092050209,72.30124999999994,0.02857142857142857,0.9714285714285714
18,35,1,34,66.53063094733805,69.21181818181824,6.074344749229297,56.140564853556505,73.70896551724135,0.02857142857142857,0.9714285714285714
19,35,2,33,67.56519327262221,70.85009107468123,6.552499213641914,54.776422594142325,74.710150862069,0.05714285714285714,0.9428571428571428
20,35,2,33,67.27089107498347,70.35532867132873,6.822426919216044,54.27301255230129,74.27176724137925,0.05714285714285714,0.9428571428571428
21,35,0,35,59.387402292854766,57.9120822622108,8.186925083898938,47.51133891213392,69.32868534482759,0.0,1.0
22,35,1,34,67.28986308226148,70.84659375000003,7.12249504809406,53.79560669456065,75.00926724137933,0.02857142857142857,0.9714285714285714
23,35,4,31,61.4396251887052,61.82154826958096,7.102583268441423,49.47018363939899,70.96612068965521,0.11428571428571428,0.8857142857142857
24,35,1,34,64.547508857138,66.88907103825134,6.301612429243496,54.75661087866106,73.2005603448276,0.02857142857142857,0.9714285714285714
25,35,1,34,66.79141554782304,70.98052823315122,7.026929088508843,55.441297071129696,75.41653017241387,0.02857142857142857,0.9714285714285714
26,35,3,32,56.684951778948005,52.40133676092539,7.987350377536204,45.56533472803349,67.53768750000006,0.08571428571428572,0.9142857142857143
27,35,0,35,69.36575753289078,72.49963636363645,7.012452105519962,56.36702928870296,77.62980603448274,0.0,1.0
28,35,1,34,68.79649272665282,71.425048951049,6.475093176960352,57.57502092050209,75.83267241379313,0.02857142857142857,0.9714285714285714
29,35,1,34,67.464713162642,71.2348811188811,6.73563667644194,54.36215481171547,75.62424568965515,0.02857142857142857,0.9714285714285714
30,35,2,33,70.80134456656661,72.78831249999999,5.712361951647755,60.43763598326359,77.52226293103443,0.05714285714285714,0.9428571428571428
31,35,1,34,68.48516273465118,71.20413986013988,7.455939130398258,56.460209205020895,77.10452586206898,0.02857142857142857,0.9714285714285714
32,35,0,35,70.35933030128655,73.34363636363635,7.048517236475117,57.091924686192456,77.83450431034483,0.0,1.0
