epoch,total,success,errors,error_rate,success_rate
0,35,1,34,0.9714285714285714,0.0285714285714285
1,35,4,31,0.8857142857142857,0.1142857142857142
2,35,20,15,0.4285714285714285,0.5714285714285714
3,35,27,8,0.2285714285714285,0.7714285714285715
4,35,26,9,0.2571428571428571,0.7428571428571429
5,35,34,1,0.0285714285714285,0.9714285714285714
6,35,28,7,0.2,0.8
7,35,31,4,0.1142857142857142,0.8857142857142857
8,35,34,1,0.0285714285714285,0.9714285714285714
9,35,34,1,0.0285714285714285,0.9714285714285714
10,35,33,2,0.0571428571428571,0.9428571428571428
11,35,33,2,0.0571428571428571,0.9428571428571428
12,35,33,2,0.0571428571428571,0.9428571428571428
13,35,33,2,0.0571428571428571,0.9428571428571428
14,35,34,1,0.0285714285714285,0.9714285714285714
15,35,34,1,0.0285714285714285,0.9714285714285714
16,35,33,2,0.0571428571428571,0.9428571428571428
17,35,34,1,0.0285714285714285,0.9714285714285714
18,35,34,1,0.0285714285714285,0.9714285714285714
19,35,33,2,0.0571428571428571,0.9428571428571428
20,35,33,2,0.0571428571428571,0.9428571428571428
21,35,35,0,0.0,1.0
22,35,34,1,0.0285714285714285,0.9714285714285714
23,35,31,4,0.1142857142857142,0.8857142857142857
24,35,34,1,0.0285714285714285,0.9714285714285714
25,35,34,1,0.0285714285714285,0.9714285714285714
26,35,32,3,0.0857142857142857,0.9142857142857144
27,35,35,0,0.0,1.0
28,35,34,1,0.0285714285714285,0.9714285714285714
29,35,34,1,0.0285714285714285,0.9714285714285714
30,35,33,2,0.0571428571428571,0.9428571428571428
31,35,34,1,0.0285714285714285,0.9714285714285714
32,35,35,0,0.0,1.0
